PassengerId,Survived,Pclass,Sex,SexEncoded,AgeFilled,AgeBand,SibSp,Parch,FamilySize,FamilyGroup,IsAlone,FareFilled,FareLog,FarePerPerson,FareBand,EmbarkedFilled,Title,CabinDeck,HasCabin,TicketPrefix,SexPclass,AgePclass,NameLength,WomenChildPriority,AgeMissing,FareMissing,CabinMissing
1,0,3,male,0,22.0,Young,1,0,2,Small,0,7.25,2.1102132003465894,3.625,Q1,S,Mr,U,0,A,male_P3,66.0,23,0,0,0,1
2,1,1,female,1,38.0,Middle,1,0,2,Small,0,71.2833,4.2805931204649,35.64165,Q4,C,Mrs,C,1,PC,female_P1,38.0,51,1,0,0,0
3,1,3,female,1,26.0,Young,0,0,1,Solo,1,7.925,2.188856327665703,7.925,Q2,S,Miss,U,0,STONO,female_P3,78.0,22,1,0,0,1
4,1,1,female,1,35.0,Young,1,0,2,Small,0,53.1,3.9908341858524357,26.55,Q4,S,Mrs,C,1,NONE,female_P1,35.0,44,1,0,0,0
5,0,3,male,0,35.0,Young,0,0,1,Solo,1,8.05,2.2027647577118348,8.05,Q2,S,Mr,U,0,NONE,male_P3,105.0,24,0,0,0,1
6,0,3,male,0,26.0,Young,0,0,1,Solo,1,8.4583,2.246892662898172,8.4583,Q2,Q,Mr,U,0,NONE,male_P3,78.0,16,0,1,0,1
7,0,1,male,0,54.0,Senior,0,0,1,Solo,1,51.8625,3.967694202798607,51.8625,Q4,S,Mr,E,1,NONE,male_P1,54.0,23,0,0,0,0
8,0,3,male,0,2.0,Child,3,1,5,Medium,0,21.075,3.0944457464900235,4.215,Q3,S,Master,U,0,NONE,male_P3,6.0,30,1,0,0,1
9,1,3,female,1,27.0,Young,0,2,3,Small,0,11.1333,2.495953738718064,3.7111,Q2,S,Mrs,U,0,NONE,female_P3,81.0,49,1,0,0,1
10,1,2,female,1,14.0,Teen,1,0,2,Small,0,30.0708,3.436268471383741,15.0354,Q3,C,Mrs,U,0,NONE,female_P2,28.0,35,1,0,0,1
11,1,3,female,1,4.0,Child,1,1,3,Small,0,16.7,2.8735646395797834,5.566666666666666,Q3,S,Miss,G,1,OTHER,female_P3,12.0,31,1,0,0,0
12,1,1,female,1,58.0,Senior,0,0,1,Solo,1,26.55,3.3160025355989236,26.55,Q3,S,Miss,C,1,NONE,female_P1,58.0,24,1,0,0,0
13,0,3,male,0,20.0,Young,0,0,1,Solo,1,8.05,2.2027647577118348,8.05,Q2,S,Mr,U,0,A,male_P3,60.0,30,0,0,0,1
14,0,3,male,0,39.0,Middle,1,5,7,Large,0,31.275,3.4742929367327062,4.4678571428571425,Q4,S,Mr,U,0,NONE,male_P3,117.0,27,0,0,0,1
