PassengerId,Survived,FareFilled,SexEncoded,FareLog,FarePerPerson,HasCabin,AgePclass,NameLength,WomenChildPriority,CabinMissing,Pclass_1,Pclass_3,Sex_female,Sex_male,Title_Miss,Title_Mr,Title_Mrs,CabinDeck_U,SexPclass_female_P1,SexPclass_female_P2,SexPclass_male_P3
1,0,-0.5024451714361923,0.0,2.1102132003465894,3.625,0.0,66.0,23.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2,1,0.7868452935884461,1.0,4.2805931204649,35.64165,1.0,38.0,51.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
3,1,-0.4888542575852486,1.0,2.188856327665703,7.925,0.0,78.0,22.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
4,1,0.4207302360686478,1.0,3.9908341858524357,26.55,1.0,35.0,44.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5,0,-0.4863374216869257,0.0,2.2027647577118348,8.05,0.0,105.0,24.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
6,0,-0.47811642890864375,0.0,2.246892662898172,8.4583,0.0,78.0,16.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
7,0,0.395813560675251,0.0,3.967694202798607,51.8625,1.0,54.0,23.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,0,-0.22408312108167944,0.0,3.0944457464900235,4.215,0.0,6.0,30.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9,1,-0.4242561406845337,1.0,2.495953738718064,3.7111,0.0,81.0,49.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
10,1,-0.04295550208861426,1.0,3.436268471383741,15.0354,0.0,28.0,35.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
11,1,-0.312172377522981,1.0,2.8735646395797834,5.566666666666666,1.0,12.0,31.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1,-0.11384570873513637,1.0,3.3160025355989236,26.55,1.0,58.0,24.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
13,0,-0.4863374216869257,0.0,2.2027647577118348,8.05,0.0,60.0,30.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
14,0,-0.01870931177853076,0.0,3.4742929367327062,4.4678571428571425,0.0,117.0,27.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
15,0,-0.4902797934380587,1.0,2.180891922715322,7.8542,0.0,42.0,36.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
16,1,-0.3262666585535892,1.0,2.833213344056216,16.0,0.0,110.0,32.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
17,0,-0.06199888922968463,0.0,3.405355391810819,4.854166666666667,0.0,6.0,20.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
18,1,-0.3866707201133388,0.0,2.6390573296152584,13.0,0.0,62.0,28.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
19,0,-0.2859972841804228,1.0,2.9444389791664403,9.0,0.0,93.0,55.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
20,1,-0.5029485386158568,1.0,2.1071782966514356,7.225,0.0,93.0,23.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
21,0,-0.12491978668775715,0.0,3.295836866004329,26.0,0.0,70.0,20.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
22,1,-0.3866707201133388,0.0,2.6390573296152584,13.0,1.0,68.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,1,-0.4867562231804066,1.0,2.2004637699272855,8.0292,0.0,45.0,27.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
24,1,0.06635974158478332,0.0,3.597312260588446,35.5,1.0,28.0,28.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,0,-0.22408312108167944,1.0,3.0944457464900235,4.215,0.0,24.0,29.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
