scope,outer_fold,family_weight,mean_accuracy,std_accuracy,fold_accuracies
nested_outer_selection,1,0.0,0.8272406008817029,0.0037383787781526813,"[0.8319327731092437, 0.8227848101265823, 0.8270042194092827]"
nested_outer_selection,1,0.25,0.8244276613599025,0.005579479094641249,"[0.8319327731092437, 0.8227848101265823, 0.8185654008438819]"
nested_outer_selection,1,0.5,0.8230271011358129,0.006145639846518043,"[0.8277310924369747, 0.8270042194092827, 0.8143459915611815]"
nested_outer_selection,1,0.75,0.8272346913448924,0.006293082369883454,"[0.8361344537815126, 0.8227848101265823, 0.8227848101265823]"
nested_outer_selection,1,1.0,0.8286411611057926,0.005571530610567418,"[0.8361344537815126, 0.8270042194092827, 0.8227848101265823]"
nested_outer_selection,2,0.0,0.8302781028023024,0.008964547240725877,"[0.8403361344537815, 0.8319327731092437, 0.8185654008438819]"
nested_outer_selection,2,0.25,0.831678663026392,0.009429802540116014,"[0.8403361344537815, 0.8361344537815126, 0.8185654008438819]"
nested_outer_selection,2,0.5,0.8302781028023024,0.008282130980816106,"[0.8361344537815126, 0.8361344537815126, 0.8185654008438819]"
nested_outer_selection,2,0.75,0.8302781028023024,0.008282130980816106,"[0.8361344537815126, 0.8361344537815126, 0.8185654008438819]"
nested_outer_selection,2,1.0,0.8302781028023024,0.008964547240725877,"[0.8403361344537815, 0.8319327731092437, 0.8185654008438819]"
nested_outer_selection,3,0.0,0.8288539044309706,0.021037072896459248,"[0.8529411764705882, 0.8319327731092437, 0.8016877637130801]"
nested_outer_selection,3,0.25,0.8330555851032395,0.023217402179695302,"[0.8571428571428571, 0.8403361344537815, 0.8016877637130801]"
nested_outer_selection,3,0.5,0.8288361758205393,0.02897174393900117,"[0.8571428571428571, 0.8403361344537815, 0.7890295358649789]"
nested_outer_selection,3,0.75,0.8288479948941602,0.024459469345191664,"[0.8571428571428571, 0.8319327731092437, 0.7974683544303798]"
nested_outer_selection,3,1.0,0.8302367360446289,0.0329749495782945,"[0.8697478991596639, 0.8319327731092437, 0.7890295358649789]"
nested_outer_selection,4,0.0,0.8246935905163753,0.004925754023436465,"[0.819327731092437, 0.8235294117647058, 0.8312236286919831]"
nested_outer_selection,4,0.25,0.8232930302922856,0.006573934068459585,"[0.8235294117647058, 0.8151260504201681, 0.8312236286919831]"
nested_outer_selection,4,0.5,0.8246995000531858,0.00833553940564988,"[0.8235294117647058, 0.8151260504201681, 0.8354430379746836]"
nested_outer_selection,4,0.75,0.8232930302922856,0.006573934068459585,"[0.8235294117647058, 0.8151260504201681, 0.8312236286919831]"
nested_outer_selection,4,1.0,0.8275065300381756,0.008765016550587687,"[0.8235294117647058, 0.819327731092437, 0.8396624472573839]"
nested_outer_selection,5,0.0,0.8274947109645545,0.012293401925206183,"[0.8403361344537815, 0.8109243697478992, 0.8312236286919831]"
nested_outer_selection,5,0.25,0.831702301173634,0.012295197155518127,"[0.8445378151260504, 0.8151260504201681, 0.8354430379746836]"
nested_outer_selection,5,0.5,0.8316963916368234,0.017156546668729934,"[0.8529411764705882, 0.8109243697478992, 0.8312236286919831]"
nested_outer_selection,5,0.75,0.8274888014277441,0.017156711545678244,"[0.8487394957983193, 0.8067226890756303, 0.8270042194092827]"
nested_outer_selection,5,1.0,0.8260882412036544,0.018879731748171296,"[0.8487394957983193, 0.8025210084033614, 0.8270042194092827]"
full_training_selection,0,0.0,0.8305274971941637,0.01563231007540307,"[0.8518518518518519, 0.8148148148148148, 0.8249158249158249]"
full_training_selection,0,0.25,0.830527497194164,0.012991960609192164,"[0.8484848484848485, 0.8181818181818182, 0.8249158249158249]"
full_training_selection,0,0.5,0.8305274971941637,0.012697764869792095,"[0.8484848484848485, 0.8215488215488216, 0.8215488215488216]"
full_training_selection,0,0.75,0.8282828282828283,0.00991218952449815,"[0.8417508417508418, 0.8181818181818182, 0.8249158249158249]"
full_training_selection,0,1.0,0.8294051627384961,0.013561218825583124,"[0.8484848484848485, 0.8215488215488216, 0.8181818181818182]"
