scope,outer_fold,smoothing,min_support,decision_threshold,policy,mean_accuracy,std_accuracy,changed_rows
nested_outer_selection,1,2.0,2,0.5,none,0.822979824841329,0.027182583331306263,0
nested_outer_selection,1,2.0,2,0.54,none,0.8229857343781394,0.02415273313275324,0
nested_outer_selection,1,2.0,2,0.58,none,0.8271874150504083,0.030291357627829356,0
nested_outer_selection,1,2.0,2,0.5,conservative,0.822979824841329,0.027182583331306263,6
nested_outer_selection,1,2.0,2,0.54,conservative,0.8243922041390396,0.023222184907340664,5
nested_outer_selection,1,2.0,2,0.58,conservative,0.8271874150504085,0.030094806924236862,6
nested_outer_selection,2,2.0,2,0.5,none,0.8232871207554752,0.008970353755560281,0
nested_outer_selection,2,2.0,2,0.54,none,0.8204800907704853,0.007052199674316648,0
nested_outer_selection,2,2.0,2,0.58,none,0.8260882412036544,0.005186587389042085,0
nested_outer_selection,2,2.0,2,0.5,conservative,0.8246758619059437,0.011162149883682644,5
nested_outer_selection,2,2.0,2,0.54,conservative,0.8218688319209541,0.010092343575113625,5
nested_outer_selection,2,2.0,2,0.58,conservative,0.8260764221300333,0.010087941102094957,6
nested_outer_selection,3,2.0,2,0.5,none,0.8274888014277441,0.01029767608233124,0
nested_outer_selection,3,2.0,2,0.54,none,0.8176612417118746,0.010096751046125655,0
nested_outer_selection,3,2.0,2,0.58,none,0.8204505430864328,0.014230324157029337,0
nested_outer_selection,3,2.0,2,0.5,conservative,0.8246876809795648,0.00705413564793224,2
nested_outer_selection,3,2.0,2,0.54,conservative,0.8162665910245955,0.00532217360267495,3
nested_outer_selection,3,2.0,2,0.58,conservative,0.8190558923991538,0.009454457381905807,3
nested_outer_selection,4,2.0,2,0.5,none,0.8387169213677033,0.005010757559018607,0
nested_outer_selection,4,2.0,2,0.54,none,0.8345152406954343,0.008387367101671579,0
nested_outer_selection,4,2.0,2,0.58,none,0.8359098913827134,0.0031596188390714173,0
nested_outer_selection,4,2.0,2,0.5,conservative,0.8331028613977236,0.003808887876203263,6
nested_outer_selection,4,2.0,2,0.54,conservative,0.8289011807254547,0.00691947460738322,6
nested_outer_selection,4,2.0,2,0.58,conservative,0.8316963916368235,0.0003342938841903994,7
nested_outer_selection,5,2.0,2,0.5,none,0.8274710728173126,0.009438020576475527,0
nested_outer_selection,5,2.0,2,0.54,none,0.8218688319209541,0.0055891785578262125,0
nested_outer_selection,5,2.0,2,0.58,none,0.8232693921450437,0.006309797064092937,0
nested_outer_selection,5,2.0,2,0.5,conservative,0.8246640428323228,0.012359066885024191,6
nested_outer_selection,5,2.0,2,0.54,conservative,0.8190618019359642,0.00932720374790785,6
nested_outer_selection,5,2.0,2,0.58,conservative,0.8204623621600539,0.008938420083423075,6
full_training_selection,0,2.0,2,0.5,none,0.8327721661054994,0.013837068469066191,0
full_training_selection,0,2.0,2,0.54,none,0.8316498316498316,0.00991218952449815,0
full_training_selection,0,2.0,2,0.58,none,0.8316498316498316,0.002749146737130378,0
full_training_selection,0,2.0,2,0.5,conservative,0.829405162738496,0.018304721021661162,5
full_training_selection,0,2.0,2,0.54,conservative,0.8282828282828283,0.013745733685651983,5
full_training_selection,0,2.0,2,0.58,conservative,0.8282828282828283,0.005498293474260756,5
