feature,mutual_information,selected
FarePerPerson,0.15644089074098022,True
WomenChildPriority,0.15406811521462482,True
FareLog,0.1422734443866085,True
Sex_male,0.1397188993641918,True
Sex_female,0.13331372213850057,True
SexEncoded,0.13215846644992446,True
FareFilled,0.1307423137382686,True
Title_Mr,0.12837164672532575,True
SexPclass_male_P3,0.09935775412491865,True
AgePclass,0.09391527563526214,True
SexPclass_female_P1,0.08323236349882368,True
Title_Miss,0.08067062350574172,True
NameLength,0.0780755015119603,True
SexPclass_female_P2,0.06850741330250498,True
Pclass_1,0.06617170414020634,True
HasCabin,0.06006931941246929,True
CabinDeck_U,0.05948144115201526,True
CabinMissing,0.058938615561899166,True
Title_Mrs,0.05452369109809729,True
Pclass_3,0.05264029942981008,True
Parch,0.04822306729349157,False
FareBand_Q4,0.04820442418923698,False
AgeFilled,0.04655594481270797,False
FamilySize,0.04236312039955137,False
SexPclass_male_P2,0.03925721259957138,False
CabinDeck_F,0.03808506000344236,False
FamilyGroup_Solo,0.034662260941459744,False
SibSp,0.024821020030614482,False
FareBand_Q1,0.023443784870395,False
FamilyGroup_Small,0.02287222094733088,False
TicketPrefix_NONE,0.020021094618389634,False
IsAlone,0.01988682649610829,False
AgeBand_Young,0.019729136913239964,False
CabinDeck_T,0.016365629578666274,False
FareBand_Q3,0.01445357597138397,False
FareBand_Q2,0.013974348551048177,False
SexPclass_female_P3,0.012950246848593805,False
AgeBand_Child,0.012495623538655742,False
TicketPrefix_CA,0.011671888304726874,False
EmbarkedFilled_C,0.011179033081258227,False
AgeBand_Elder,0.010830625986370412,False
AgeBand_Middle,0.010718723753899706,False
FamilyGroup_Large,0.00687270132392892,False
TicketPrefix_A,0.006562925602453973,False
EmbarkedFilled_Q,0.0064657103985095166,False
TicketPrefix_SOTONOQ,0.006312235428091784,False
Pclass_2,0.0052400160578076616,False
AgeBand_Teen,0.005144323522270566,False
TicketPrefix_OTHER,0.002772365006182387,False
FamilyGroup_Medium,0.0027274797308194376,False
SexPclass_male_P1,0.0026946547799016063,False
CabinDeck_C,0.0025385006982701075,False
CabinDeck_B,0.0024275390766235194,False
AgeBand_Senior,0.0,False
AgeMissing,0.0,False
CabinDeck_A,0.0,False
CabinDeck_D,0.0,False
CabinDeck_E,0.0,False
CabinDeck_G,0.0,False
EmbarkedFilled_S,0.0,False
FareMissing,0.0,False
TicketPrefix_PC,0.0,False
TicketPrefix_SCPARIS,0.0,False
TicketPrefix_STONO,0.0,False
TicketPrefix_WC,0.0,False
Title_Master,0.0,False
Title_Rare,0.0,False
