k,cv_accuracy_mean,cv_accuracy_std,train_accuracy_mean,rank,selected
20,0.8417362375243236,0.016562267407514982,0.8431492979497929,1,True
24,0.8372544096415794,0.015144055162908274,0.8448350851757883,2,False
32,0.8338961772644531,0.014882528907631486,0.8445541862993838,3,False
28,0.8338961772644529,0.013550485632594107,0.8453964889610287,4,False
40,0.8305379448873266,0.0112869605851713,0.8476393463290103,5,False
36,0.830525390747599,0.010919565187961309,0.8479202452054146,6,False
all,0.8248948590797817,0.017374124321031945,0.8501674362166506,7,False
16,0.819295712761283,0.018673271101394422,0.8240718124084024,8,False
12,0.8080534806352395,0.020753130253959237,0.8066773563200277,9,False
8,0.7878852551628899,0.0181722375928754,0.7906822730352838,10,False
