field,train_raw_missing,test_raw_missing,train_clean_missing,test_clean_missing
Age,177,86,0,0
AgeBand,0,0,0,0
AgeFilled,0,0,0,0
AgeMissing,0,0,0,0
AgePclass,0,0,0,0
Cabin,687,327,0,0
CabinDeck,0,0,0,0
CabinMissing,0,0,0,0
Embarked,2,0,0,0
EmbarkedFilled,0,0,0,0
FamilyGroup,0,0,0,0
FamilySize,0,0,0,0
Fare,0,1,0,0
FareBand,0,0,0,0
FareFilled,0,0,0,0
FareLog,0,0,0,0
FareMissing,0,0,0,0
FarePerPerson,0,0,0,0
HasCabin,0,0,0,0
IsAlone,0,0,0,0
Name,0,0,0,0
NameLength,0,0,0,0
Parch,0,0,0,0
PassengerId,0,0,0,0
Pclass,0,0,0,0
Sex,0,0,0,0
SexEncoded,0,0,0,0
SexPclass,0,0,0,0
SibSp,0,0,0,0
Survived,0,0,0,0
Ticket,0,0,0,0
TicketPrefix,0,0,0,0
Title,0,0,0,0
WomenChildPriority,0,0,0,0
